LON,LAT,VALUE
106.056,30.8064,98
106.0789,30.8023,45
106.1031,30.8217,111
106.1064,30.7856,84
106.0642,30.7636,90
106.1087,30.8388,94
106.074473,30.807017,81
106.073047,30.818951,79
106.167008,30.780744,123
106.31807,30.768945,83
106.046158,30.753014,70
106.00805,30.76334,98
106.043412,31.305508,81
106.062638,31.272648,82
106.699845,31.124638,82
106.562516,31.18575,82
106.279618,31.056429,81
106.565262,31.084659,82
106.098344,30.917508,81
105.895096,31.042311,50
106.210953,31.577331,150
106.608296,31.459044,102
