LON,LAT,VALUE
117.666588,24.514798,53
117.7116,24.506,30
117.6336,24.4674,53
117.091424,23.753707,53
117.065331,23.754335,35
117.361962,23.775701,27
117.282998,23.795179,51
117.31527,23.788897,35
117.258279,23.805231,36
117.23356,23.802719,33
117.186181,23.807116,54
117.152535,23.809001,54
117.129189,23.809001,33
117.082498,23.814655,51
117.047479,23.817795,39
117.053658,23.849828,50
117.105844,23.85548,39
117.12713,23.864899,34
117.160089,23.874946,33
117.20472,23.880597,39
117.267205,23.890014,53
117.309777,23.896292,31
117.309777,23.896292,51
117.355096,23.898804,33
117.355096,23.898804,53
117.359902,23.930188,33
117.339303,23.941485,31
117.31939,23.945878,29
117.289178,23.946506,37
117.261712,23.948388,53
117.240426,23.951526,51
117.240426,23.951526,33
117.149102,23.952153,38
117.188241,23.954036,27
117.149102,23.952153,39
117.103784,23.957173,57
117.068765,23.960311,32
117.033059,23.962193,28
117.033059,23.962193,34
116.989114,23.960311,52
116.989114,23.960311,50
116.99804,24.001718,30
116.99804,24.001718,35
116.99804,24.001718,32
116.99804,24.001718,52
117.026193,24.00799,22
117.052285,24.01489,26
117.081124,24.01928,26
117.10859,24.024297,32
117.131936,24.029942,21
117.311151,24.045619,29
117.381875,24.056906,29
117.416894,24.059414,30
117.462899,24.068191,33
117.503411,24.086998,26
117.503411,24.086998,25
117.54667,24.092013,31
117.578256,24.098908,24
117.578256,24.098908,23
117.622888,24.100162,24
117.759066,24.123978,25
117.833224,24.136511,29
117.903262,24.142777,24
117.933474,24.189135,28
117.495394,24.261772,24
117.256441,24.295571,24
117.167178,24.298075,25
117.065554,24.315597,174
117.271548,24.428179,28
117.392397,24.448183,26
117.444582,24.448183,24
117.507754,24.448183,26
117.597018,24.449433,28
117.667055,24.453183,25
117.730227,24.454433,22
117.864809,24.458184,22
117.895022,24.461934,23
117.895022,24.461934,26
117.875796,24.528167,25
117.824984,24.533165,26
117.782412,24.56814,27
117.741213,24.585625,27
117.505007,24.583127,29
117.400637,24.615592,24
117.30176,24.638063,27
117.18091,24.643056,24
117.09302,24.678001,22
117.524233,24.747862,25
117.40613,24.732895,21
117.900515,24.73539,25
117.732973,24.772803,21
117.461062,24.857564,29
117.373171,24.927324,47
117.480288,24.879991,51
117.606631,24.867532,42
