LON,LAT,VALUE
126.4738889,43.95305556,451
111.551,40.7866,349
114.4854,37.062,346
114.4821,37.0967,345
106.7096,39.1292,341
123.7989,41.2692,335
113.1569,36.1912,329
111.5968,40.8179,319
87.4754,43.9469,306
86.0697,44.3075,303
106.3717,39.0153,301
114.5261,37.0533,300
113.0972,36.1939,298
114.5426,36.6164,297
114.5214,38.0524,291
113.0886,36.2126,291
114.32,36.086,289
114.4965,36.61981,285
114.5480556,38.03777778,283
123.7669,41.2864,282
87.2997,44.0114,275
114.5129,36.61763,274
108.869,34.378,273
113.0844444,36.1855,272
115.5214,38.8707,270
115.4713,38.9108,269
110.0067,40.5905,268
114.6046,38.0398,266
114.483,36.061,266
108.6761,34.3181,266
109.8654,40.6288,265
123.0485,41.1442,264
112.2551,30.3175,264
113.1097,36.1542,263
112.7283,38.4153,263
123.044,41.1196,262
114.5331,37.0964,262
114.4586111,38.00583333,262
108.7233,34.3617,262
115.493,38.8632,259
108.6594,34.2969,259
109.043,34.3274,258
114.358,36.087,257
108.935,34.3474,256
116.2714,37.4372,255
108.882,34.2749,254
115.5223,38.8957,253
111.652,40.8389,253
114.3922,36.0878,251
108.993,34.2629,248
114.4548,38.0513,247
108.954,34.2713,246
87.2717,44.0297,246
109.2186,34.3731,245
109.06,34.2572,245
111.658,40.8033,242
106.7704,39.2282,241
115.4612,38.8416,240
114.5035,36.5776,240
87.5475,44.1756,238
117.1837,39.2133,234
86.0497,44.2967,233
108.7197,34.3956,231
117.1589,39.0845,227
116.3061,37.4664,225
111.5036,36.0414,225
111.5028,36.0714,224
110.0377,40.5546,224
116.3189,37.4489,222
109.8756,40.6532,218
117.202,39.0927,217
117.2099,39.16969,216
107.3715,40.7378,216
111.5169,36.0822,215
117.145,39.1654,214
111.5531,36.0783,213
108.9344,34.9058,213
117.3916,39.1495,212
117.1941,39.1067,212
115.442,38.8756,210
109.4266,34.5021,210
125.1358,42.8947,208
114.2886,34.7967,208
111.751,40.8369,208
109.2,34.6575,208
111.5025,36.0875,207
117.707,39.0343,206
114.3644,34.7964,206
109.5049,34.5004,206
114.3541,37.9097,205
114.0322,33.5653,205
114.005,33.568,205
117.237,39.1082,204
111.651,40.7579,204
114.5019,38.1398,203
115.455,35.27,201
112.3844,34.6231,201
87.6444,43.962,201
123.945,47.2988,200
117.764,39.1587,200
111.505,36.10139,200
126.561,45.8167,197
117.307,39.0877,197
114.3442,34.8097,197
108.883,34.2303,197
126.685,45.7319,196
123.9483,47.3227,196
114.056,33.567,196
