LON,LAT,VALUE
103.97275,30.72358333,124
104.176,30.6872,167
104.079,30.5706,141
104.1113889,30.63,146
104.054,30.6578,173
103.613,31.0283,54
104.7778,31.4747,99
104.7536,31.4539,109
104.6717,31.4656,99
104.7283,31.5072,111
104.5969,28.8194,120
104.6225,28.76611,115
104.6061,28.7867,116
104.6417,28.76389,111
104.5761,28.71583,111
101.68912,26.57098,71
101.5769,26.5928,63
101.7169,26.585,59
101.7453,26.5017,48
105.4306,28.9583,148
105.4436,28.9026,174
105.4322,28.8558,131
105.4322,28.8833,145
104.7547,29.3628,125
104.7692,29.3411,113
104.4219,31.1208,105
104.3883,31.1333,106
104.4053,31.1167,110
104.3539,31.1108,113
106.056,30.8064,84
106.0789,30.8023,108
106.1031,30.8217,111
106.1064,30.7856,105
106.0642,30.7636,108
106.1087,30.8388,95
105.8945,32.4535,108
105.8242,32.4429,104
105.8153,32.4246,119
105.8624,32.4285,113
105.7519,30.5797,94
105.68,30.6133,84
105.8161,30.6347,81
105.5956,30.475,79
105.0331,29.5953,93
105.0717,29.5947,75
105.0653,29.5817,81
105.0406,29.5822,80
103.7705,29.5467,98
103.7627,29.5844,94
103.7506,29.6007,110
103.757,29.5634,68
103.8986,30.0506,74
103.8416,30.0874,120
106.631,30.518,69
106.6303,30.4576,90
106.6271,30.4663,86
106.6388,30.4551,83
107.5272,31.2797,85
107.525,31.215,91
107.4967,31.2108,101
107.5069,31.1956,95
107.4611,31.2058,103
103.0013,29.9899,83
103.0109,29.9834,71
103.0001,29.9816,71
104.6617,30.1366,106
104.6356,30.1506,101
104.6289,30.1377,89
104.6469,30.1142,91
104.6294,30.1259,91
102.1755,31.9286,31
102.2218,31.9025,32
102.2402,31.8934,23
101.9603,30.0475,16
102.3419,27.8094,23
102.2714,27.8408,25
102.2625,27.8978,44
102.2689,27.8847,36
102.2311,27.8953,53
101.7227,26.567,60
104.0238889,30.65638889,140
106.6351,30.4865,84
106.7513889,31.87888889,76
106.7619444,31.85805556,84
104.7228,29.33972,110
104.7778,29.36028,91
101.9533,29.9972,21
104.2725,30.5589,135
103.8578,30.0744,113
103.8286,30.0561,86
106.7658,31.8542,75
106.7417,31.8653,68
106.074473,30.807017,81
106.073047,30.818951,79
106.167008,30.780744,123
106.31807,30.768945,83
106.046158,30.753014,70
106.00805,30.76334,98
106.043412,31.305508,81
106.062638,31.272648,82
106.699845,31.124638,82
106.562516,31.18575,82
106.279618,31.056429,81
106.565262,31.084659,82
106.098344,30.917508,81
105.895096,31.042311,50
106.210953,31.577331,150
106.608296,31.459044,102
